      Absolute Path                 Relative Path      Class
dataset\brown bear\0000.jpg    brown bear\0000.jpg    brown bear
dataset\brown bear\0001.jpg    brown bear\0001.jpg    brown bear
dataset\brown bear\0002.jpg    brown bear\0002.jpg    brown bear
dataset\brown bear\0003.jpg    brown bear\0003.jpg    brown bear
dataset\brown bear\0004.jpg    brown bear\0004.jpg    brown bear
dataset\brown bear\0005.jpg    brown bear\0005.jpg    brown bear
dataset\brown bear\0006.jpg    brown bear\0006.jpg    brown bear
dataset\brown bear\0007.jpg    brown bear\0007.jpg    brown bear
dataset\brown bear\0008.jpg    brown bear\0008.jpg    brown bear
dataset\brown bear\0009.jpg    brown bear\0009.jpg    brown bear
dataset\brown bear\0010.jpg    brown bear\0010.jpg    brown bear
dataset\brown bear\0011.jpg    brown bear\0011.jpg    brown bear
dataset\brown bear\0012.jpg    brown bear\0012.jpg    brown bear
dataset\brown bear\0013.jpg    brown bear\0013.jpg    brown bear
dataset\brown bear\0014.jpg    brown bear\0014.jpg    brown bear
dataset\brown bear\0015.jpg    brown bear\0015.jpg    brown bear
dataset\brown bear\0016.jpg    brown bear\0016.jpg    brown bear
dataset\brown bear\0017.jpg    brown bear\0017.jpg    brown bear
dataset\brown bear\0018.jpg    brown bear\0018.jpg    brown bear
dataset\brown bear\0019.jpg    brown bear\0019.jpg    brown bear
dataset\brown bear\0020.jpg    brown bear\0020.jpg    brown bear
dataset\brown bear\0021.jpg    brown bear\0021.jpg    brown bear
dataset\brown bear\0022.jpg    brown bear\0022.jpg    brown bear
dataset\brown bear\0023.jpg    brown bear\0023.jpg    brown bear
dataset\brown bear\0024.jpg    brown bear\0024.jpg    brown bear
dataset\brown bear\0025.jpg    brown bear\0025.jpg    brown bear
dataset\brown bear\0026.jpg    brown bear\0026.jpg    brown bear
dataset\brown bear\0027.jpg    brown bear\0027.jpg    brown bear
dataset\brown bear\0028.jpg    brown bear\0028.jpg    brown bear
dataset\brown bear\0029.jpg    brown bear\0029.jpg    brown bear
dataset\brown bear\0030.jpg    brown bear\0030.jpg    brown bear
dataset\brown bear\0031.jpg    brown bear\0031.jpg    brown bear
dataset\brown bear\0032.jpg    brown bear\0032.jpg    brown bear
dataset\brown bear\0033.jpg    brown bear\0033.jpg    brown bear
dataset\brown bear\0034.jpg    brown bear\0034.jpg    brown bear
dataset\brown bear\0035.jpg    brown bear\0035.jpg    brown bear
dataset\brown bear\0036.jpg    brown bear\0036.jpg    brown bear
dataset\brown bear\0037.jpg    brown bear\0037.jpg    brown bear
dataset\brown bear\0038.jpg    brown bear\0038.jpg    brown bear
dataset\brown bear\0039.jpg    brown bear\0039.jpg    brown bear
dataset\brown bear\0040.jpg    brown bear\0040.jpg    brown bear
dataset\brown bear\0041.jpg    brown bear\0041.jpg    brown bear
dataset\brown bear\0042.jpg    brown bear\0042.jpg    brown bear
dataset\brown bear\0043.jpg    brown bear\0043.jpg    brown bear
dataset\brown bear\0044.jpg    brown bear\0044.jpg    brown bear
dataset\brown bear\0045.jpg    brown bear\0045.jpg    brown bear
dataset\brown bear\0046.jpg    brown bear\0046.jpg    brown bear
dataset\brown bear\0047.jpg    brown bear\0047.jpg    brown bear
dataset\brown bear\0048.jpg    brown bear\0048.jpg    brown bear
dataset\brown bear\0049.jpg    brown bear\0049.jpg    brown bear
dataset\brown bear\0050.jpg    brown bear\0050.jpg    brown bear
dataset\brown bear\0051.jpg    brown bear\0051.jpg    brown bear
dataset\brown bear\0052.jpg    brown bear\0052.jpg    brown bear
dataset\brown bear\0053.jpg    brown bear\0053.jpg    brown bear
dataset\brown bear\0054.jpg    brown bear\0054.jpg    brown bear
dataset\brown bear\0055.jpg    brown bear\0055.jpg    brown bear
dataset\brown bear\0056.jpg    brown bear\0056.jpg    brown bear
