      Absolute Path                 Relative Path      Class
D:\PYTHON_cem3\modified_dataset\brown bear_0000.jpg    brown bear_0000.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0001.jpg    brown bear_0001.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0002.jpg    brown bear_0002.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0003.jpg    brown bear_0003.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0004.jpg    brown bear_0004.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0005.jpg    brown bear_0005.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0006.jpg    brown bear_0006.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0007.jpg    brown bear_0007.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0008.jpg    brown bear_0008.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0009.jpg    brown bear_0009.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0010.jpg    brown bear_0010.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0011.jpg    brown bear_0011.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0012.jpg    brown bear_0012.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0013.jpg    brown bear_0013.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0014.jpg    brown bear_0014.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0015.jpg    brown bear_0015.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0016.jpg    brown bear_0016.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0017.jpg    brown bear_0017.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0018.jpg    brown bear_0018.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0019.jpg    brown bear_0019.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0020.jpg    brown bear_0020.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0021.jpg    brown bear_0021.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0022.jpg    brown bear_0022.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0023.jpg    brown bear_0023.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0024.jpg    brown bear_0024.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0025.jpg    brown bear_0025.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0026.jpg    brown bear_0026.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0027.jpg    brown bear_0027.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0028.jpg    brown bear_0028.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0029.jpg    brown bear_0029.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0030.jpg    brown bear_0030.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0031.jpg    brown bear_0031.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0032.jpg    brown bear_0032.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0033.jpg    brown bear_0033.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0034.jpg    brown bear_0034.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0035.jpg    brown bear_0035.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0036.jpg    brown bear_0036.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0037.jpg    brown bear_0037.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0038.jpg    brown bear_0038.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0039.jpg    brown bear_0039.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0040.jpg    brown bear_0040.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0041.jpg    brown bear_0041.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0042.jpg    brown bear_0042.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0043.jpg    brown bear_0043.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0044.jpg    brown bear_0044.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0045.jpg    brown bear_0045.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0046.jpg    brown bear_0046.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0047.jpg    brown bear_0047.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0048.jpg    brown bear_0048.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0049.jpg    brown bear_0049.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0050.jpg    brown bear_0050.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0051.jpg    brown bear_0051.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0052.jpg    brown bear_0052.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0053.jpg    brown bear_0053.jpg    brown bear
D:\PYTHON_cem3\modified_dataset\brown bear_0054.jpg    brown bear_0054.jpg    brown bear
