Absolute Path,Relative Path,Class,Label,Height,Width,Depth
D:\PYTHON_cem3\dataset\brown_bear\0000.jpg,brown_bear\0000.jpg,brown_bear,0,320,478,3
D:\PYTHON_cem3\dataset\brown_bear\0001.jpg,brown_bear\0001.jpg,brown_bear,0,292,480,3
D:\PYTHON_cem3\dataset\brown_bear\0002.jpg,brown_bear\0002.jpg,brown_bear,0,270,480,3
D:\PYTHON_cem3\dataset\brown_bear\0003.jpg,brown_bear\0003.jpg,brown_bear,0,320,476,3
D:\PYTHON_cem3\dataset\brown_bear\0004.jpg,brown_bear\0004.jpg,brown_bear,0,320,427,3
D:\PYTHON_cem3\dataset\brown_bear\0005.jpg,brown_bear\0005.jpg,brown_bear,0,320,480,3
D:\PYTHON_cem3\dataset\brown_bear\0006.jpg,brown_bear\0006.jpg,brown_bear,0,320,480,3
D:\PYTHON_cem3\dataset\brown_bear\0007.jpg,brown_bear\0007.jpg,brown_bear,0,320,480,3
D:\PYTHON_cem3\dataset\brown_bear\0008.jpg,brown_bear\0008.jpg,brown_bear,0,320,463,3
D:\PYTHON_cem3\dataset\brown_bear\0009.jpg,brown_bear\0009.jpg,brown_bear,0,270,480,3
D:\PYTHON_cem3\dataset\brown_bear\0010.jpg,brown_bear\0010.jpg,brown_bear,0,300,480,3
D:\PYTHON_cem3\dataset\brown_bear\0011.jpg,brown_bear\0011.jpg,brown_bear,0,320,480,3
D:\PYTHON_cem3\dataset\brown_bear\0012.jpg,brown_bear\0012.jpg,brown_bear,0,300,480,3
D:\PYTHON_cem3\dataset\brown_bear\0013.jpg,brown_bear\0013.jpg,brown_bear,0,270,480,3
D:\PYTHON_cem3\dataset\brown_bear\0014.jpg,brown_bear\0014.jpg,brown_bear,0,320,480,3
D:\PYTHON_cem3\dataset\brown_bear\0015.jpg,brown_bear\0015.jpg,brown_bear,0,320,427,3
D:\PYTHON_cem3\dataset\brown_bear\0016.jpg,brown_bear\0016.jpg,brown_bear,0,320,427,3
D:\PYTHON_cem3\dataset\brown_bear\0017.jpg,brown_bear\0017.jpg,brown_bear,0,320,400,3
D:\PYTHON_cem3\dataset\brown_bear\0018.jpg,brown_bear\0018.jpg,brown_bear,0,270,480,3
D:\PYTHON_cem3\dataset\brown_bear\0019.jpg,brown_bear\0019.jpg,brown_bear,0,320,480,3
D:\PYTHON_cem3\dataset\brown_bear\0020.jpg,brown_bear\0020.jpg,brown_bear,0,320,448,3
D:\PYTHON_cem3\dataset\brown_bear\0021.jpg,brown_bear\0021.jpg,brown_bear,0,319,480,3
D:\PYTHON_cem3\dataset\brown_bear\0022.jpg,brown_bear\0022.jpg,brown_bear,0,320,480,3
D:\PYTHON_cem3\dataset\brown_bear\0023.jpg,brown_bear\0023.jpg,brown_bear,0,320,427,3
D:\PYTHON_cem3\dataset\brown_bear\0024.jpg,brown_bear\0024.jpg,brown_bear,0,320,480,3
D:\PYTHON_cem3\dataset\brown_bear\0025.jpg,brown_bear\0025.jpg,brown_bear,0,320,480,3
D:\PYTHON_cem3\dataset\brown_bear\0026.jpg,brown_bear\0026.jpg,brown_bear,0,270,480,3
D:\PYTHON_cem3\dataset\brown_bear\0027.jpg,brown_bear\0027.jpg,brown_bear,0,300,480,3
D:\PYTHON_cem3\dataset\brown_bear\0028.jpg,brown_bear\0028.jpg,brown_bear,0,270,480,3
D:\PYTHON_cem3\dataset\brown_bear\0029.jpg,brown_bear\0029.jpg,brown_bear,0,270,480,3
D:\PYTHON_cem3\dataset\brown_bear\0030.jpg,brown_bear\0030.jpg,brown_bear,0,320,427,3
D:\PYTHON_cem3\dataset\brown_bear\0031.jpg,brown_bear\0031.jpg,brown_bear,0,320,405,3
D:\PYTHON_cem3\dataset\brown_bear\0032.jpg,brown_bear\0032.jpg,brown_bear,0,270,480,3
D:\PYTHON_cem3\dataset\brown_bear\0033.jpg,brown_bear\0033.jpg,brown_bear,0,320,473,3
D:\PYTHON_cem3\dataset\brown_bear\0034.jpg,brown_bear\0034.jpg,brown_bear,0,320,213,3
D:\PYTHON_cem3\dataset\brown_bear\0035.jpg,brown_bear\0035.jpg,brown_bear,0,319,480,3
D:\PYTHON_cem3\dataset\brown_bear\0036.jpg,brown_bear\0036.jpg,brown_bear,0,300,480,3
D:\PYTHON_cem3\dataset\brown_bear\0037.jpg,brown_bear\0037.jpg,brown_bear,0,319,480,3
D:\PYTHON_cem3\dataset\brown_bear\0038.jpg,brown_bear\0038.jpg,brown_bear,0,270,480,3
D:\PYTHON_cem3\dataset\brown_bear\0039.jpg,brown_bear\0039.jpg,brown_bear,0,320,480,3
D:\PYTHON_cem3\dataset\brown_bear\0040.jpg,brown_bear\0040.jpg,brown_bear,0,320,480,3
D:\PYTHON_cem3\dataset\brown_bear\0041.jpg,brown_bear\0041.jpg,brown_bear,0,320,479,3
D:\PYTHON_cem3\dataset\brown_bear\0042.jpg,brown_bear\0042.jpg,brown_bear,0,283,480,3
D:\PYTHON_cem3\dataset\brown_bear\0043.jpg,brown_bear\0043.jpg,brown_bear,0,300,480,3
D:\PYTHON_cem3\dataset\brown_bear\0044.jpg,brown_bear\0044.jpg,brown_bear,0,320,480,3
D:\PYTHON_cem3\dataset\brown_bear\0045.jpg,brown_bear\0045.jpg,brown_bear,0,320,474,3
D:\PYTHON_cem3\dataset\brown_bear\0046.jpg,brown_bear\0046.jpg,brown_bear,0,320,360,3
D:\PYTHON_cem3\dataset\brown_bear\0047.jpg,brown_bear\0047.jpg,brown_bear,0,300,480,3
D:\PYTHON_cem3\dataset\brown_bear\0048.jpg,brown_bear\0048.jpg,brown_bear,0,320,453,3
D:\PYTHON_cem3\dataset\brown_bear\0049.jpg,brown_bear\0049.jpg,brown_bear,0,320,480,3
D:\PYTHON_cem3\dataset\brown_bear\0050.jpg,brown_bear\0050.jpg,brown_bear,0,320,237,3
D:\PYTHON_cem3\dataset\brown_bear\0051.jpg,brown_bear\0051.jpg,brown_bear,0,320,480,3
D:\PYTHON_cem3\dataset\brown_bear\0052.jpg,brown_bear\0052.jpg,brown_bear,0,320,320,3
D:\PYTHON_cem3\dataset\brown_bear\0053.jpg,brown_bear\0053.jpg,brown_bear,0,320,426,3
D:\PYTHON_cem3\dataset\brown_bear\0054.jpg,brown_bear\0054.jpg,brown_bear,0,320,401,3
D:\PYTHON_cem3\dataset\brown_bear\0055.jpg,brown_bear\0055.jpg,brown_bear,0,300,480,3
D:\PYTHON_cem3\dataset\brown_bear\0056.jpg,brown_bear\0056.jpg,brown_bear,0,270,480,3
D:\PYTHON_cem3\dataset\brown_bear\0057.jpg,brown_bear\0057.jpg,brown_bear,0,270,480,3
D:\PYTHON_cem3\dataset\brown_bear\0058.jpg,brown_bear\0058.jpg,brown_bear,0,320,427,3
D:\PYTHON_cem3\dataset\brown_bear\0059.jpg,brown_bear\0059.jpg,brown_bear,0,300,480,3
D:\PYTHON_cem3\dataset\brown_bear\0060.jpg,brown_bear\0060.jpg,brown_bear,0,320,480,3
D:\PYTHON_cem3\dataset\brown_bear\0061.jpg,brown_bear\0061.jpg,brown_bear,0,320,480,3
D:\PYTHON_cem3\dataset\brown_bear\0062.jpg,brown_bear\0062.jpg,brown_bear,0,318,480,3
D:\PYTHON_cem3\dataset\brown_bear\0063.jpg,brown_bear\0063.jpg,brown_bear,0,300,480,3
D:\PYTHON_cem3\dataset\brown_bear\0064.jpg,brown_bear\0064.jpg,brown_bear,0,320,480,3
D:\PYTHON_cem3\dataset\brown_bear\0065.jpg,brown_bear\0065.jpg,brown_bear,0,300,480,3
D:\PYTHON_cem3\dataset\brown_bear\0066.jpg,brown_bear\0066.jpg,brown_bear,0,320,470,3
D:\PYTHON_cem3\dataset\brown_bear\0067.jpg,brown_bear\0067.jpg,brown_bear,0,320,256,3
D:\PYTHON_cem3\dataset\brown_bear\0068.jpg,brown_bear\0068.jpg,brown_bear,0,306,480,3
D:\PYTHON_cem3\dataset\brown_bear\0069.jpg,brown_bear\0069.jpg,brown_bear,0,320,480,3
D:\PYTHON_cem3\dataset\brown_bear\0070.jpg,brown_bear\0070.jpg,brown_bear,0,270,480,3
D:\PYTHON_cem3\dataset\brown_bear\0071.jpg,brown_bear\0071.jpg,brown_bear,0,300,480,3
D:\PYTHON_cem3\dataset\brown_bear\0072.jpg,brown_bear\0072.jpg,brown_bear,0,320,480,3
D:\PYTHON_cem3\dataset\brown_bear\0073.jpg,brown_bear\0073.jpg,brown_bear,0,320,231,3
D:\PYTHON_cem3\dataset\brown_bear\0074.jpg,brown_bear\0074.jpg,brown_bear,0,306,480,3
D:\PYTHON_cem3\dataset\brown_bear\0075.jpg,brown_bear\0075.jpg,brown_bear,0,320,425,3
D:\PYTHON_cem3\dataset\brown_bear\0076.jpg,brown_bear\0076.jpg,brown_bear,0,270,480,3
D:\PYTHON_cem3\dataset\brown_bear\0077.jpg,brown_bear\0077.jpg,brown_bear,0,320,227,3
D:\PYTHON_cem3\dataset\brown_bear\0078.jpg,brown_bear\0078.jpg,brown_bear,0,320,476,3
D:\PYTHON_cem3\dataset\brown_bear\0079.jpg,brown_bear\0079.jpg,brown_bear,0,300,480,3
D:\PYTHON_cem3\dataset\brown_bear\0080.jpg,brown_bear\0080.jpg,brown_bear,0,320,430,3
D:\PYTHON_cem3\dataset\brown_bear\0081.jpg,brown_bear\0081.jpg,brown_bear,0,300,480,3
D:\PYTHON_cem3\dataset\brown_bear\0082.jpg,brown_bear\0082.jpg,brown_bear,0,320,320,3
D:\PYTHON_cem3\dataset\brown_bear\0083.jpg,brown_bear\0083.jpg,brown_bear,0,300,480,3
D:\PYTHON_cem3\dataset\brown_bear\0084.jpg,brown_bear\0084.jpg,brown_bear,0,270,480,3
D:\PYTHON_cem3\dataset\brown_bear\0085.jpg,brown_bear\0085.jpg,brown_bear,0,320,369,3
D:\PYTHON_cem3\dataset\brown_bear\0086.jpg,brown_bear\0086.jpg,brown_bear,0,318,480,3
D:\PYTHON_cem3\dataset\brown_bear\0087.jpg,brown_bear\0087.jpg,brown_bear,0,320,480,3
D:\PYTHON_cem3\dataset\brown_bear\0088.jpg,brown_bear\0088.jpg,brown_bear,0,320,480,3
D:\PYTHON_cem3\dataset\brown_bear\0089.jpg,brown_bear\0089.jpg,brown_bear,0,320,213,3
D:\PYTHON_cem3\dataset\brown_bear\0090.jpg,brown_bear\0090.jpg,brown_bear,0,320,256,3
D:\PYTHON_cem3\dataset\brown_bear\0091.jpg,brown_bear\0091.jpg,brown_bear,0,300,480,3
D:\PYTHON_cem3\dataset\brown_bear\0092.jpg,brown_bear\0092.jpg,brown_bear,0,300,480,3
D:\PYTHON_cem3\dataset\brown_bear\0093.jpg,brown_bear\0093.jpg,brown_bear,0,270,480,3
D:\PYTHON_cem3\dataset\brown_bear\0094.jpg,brown_bear\0094.jpg,brown_bear,0,297,480,3
D:\PYTHON_cem3\dataset\brown_bear\0095.jpg,brown_bear\0095.jpg,brown_bear,0,300,480,3
D:\PYTHON_cem3\dataset\brown_bear\0096.jpg,brown_bear\0096.jpg,brown_bear,0,319,480,3
D:\PYTHON_cem3\dataset\brown_bear\0097.jpg,brown_bear\0097.jpg,brown_bear,0,320,480,3
D:\PYTHON_cem3\dataset\brown_bear\0098.jpg,brown_bear\0098.jpg,brown_bear,0,320,256,3
D:\PYTHON_cem3\dataset\brown_bear\0099.jpg,brown_bear\0099.jpg,brown_bear,0,270,480,3
D:\PYTHON_cem3\dataset\brown_bear\0100.jpg,brown_bear\0100.jpg,brown_bear,0,317,480,3
D:\PYTHON_cem3\dataset\brown_bear\0101.jpg,brown_bear\0101.jpg,brown_bear,0,320,480,3
D:\PYTHON_cem3\dataset\brown_bear\0102.jpg,brown_bear\0102.jpg,brown_bear,0,319,480,3
D:\PYTHON_cem3\dataset\brown_bear\0103.jpg,brown_bear\0103.jpg,brown_bear,0,320,213,3
D:\PYTHON_cem3\dataset\brown_bear\0104.jpg,brown_bear\0104.jpg,brown_bear,0,300,480,3
D:\PYTHON_cem3\dataset\brown_bear\0105.jpg,brown_bear\0105.jpg,brown_bear,0,320,479,3
D:\PYTHON_cem3\dataset\brown_bear\0106.jpg,brown_bear\0106.jpg,brown_bear,0,320,480,3
D:\PYTHON_cem3\dataset\brown_bear\0107.jpg,brown_bear\0107.jpg,brown_bear,0,320,427,3
D:\PYTHON_cem3\dataset\brown_bear\0108.jpg,brown_bear\0108.jpg,brown_bear,0,320,473,3
D:\PYTHON_cem3\dataset\brown_bear\0109.jpg,brown_bear\0109.jpg,brown_bear,0,320,320,3
D:\PYTHON_cem3\dataset\brown_bear\0110.jpg,brown_bear\0110.jpg,brown_bear,0,320,400,3
D:\PYTHON_cem3\dataset\brown_bear\0111.jpg,brown_bear\0111.jpg,brown_bear,0,319,480,3
D:\PYTHON_cem3\dataset\brown_bear\0112.jpg,brown_bear\0112.jpg,brown_bear,0,319,480,3
D:\PYTHON_cem3\dataset\brown_bear\0113.jpg,brown_bear\0113.jpg,brown_bear,0,320,480,3
D:\PYTHON_cem3\dataset\brown_bear\0114.jpg,brown_bear\0114.jpg,brown_bear,0,320,480,3
D:\PYTHON_cem3\dataset\brown_bear\0115.jpg,brown_bear\0115.jpg,brown_bear,0,320,256,3
D:\PYTHON_cem3\dataset\brown_bear\0116.jpg,brown_bear\0116.jpg,brown_bear,0,320,480,3
D:\PYTHON_cem3\dataset\brown_bear\0117.jpg,brown_bear\0117.jpg,brown_bear,0,320,320,3
D:\PYTHON_cem3\dataset\brown_bear\0118.jpg,brown_bear\0118.jpg,brown_bear,0,270,480,3
D:\PYTHON_cem3\dataset\brown_bear\0119.jpg,brown_bear\0119.jpg,brown_bear,0,320,480,3
D:\PYTHON_cem3\dataset\brown_bear\0120.jpg,brown_bear\0120.jpg,brown_bear,0,320,479,3
D:\PYTHON_cem3\dataset\brown_bear\0121.jpg,brown_bear\0121.jpg,brown_bear,0,320,480,3
D:\PYTHON_cem3\dataset\brown_bear\0122.jpg,brown_bear\0122.jpg,brown_bear,0,320,427,3
D:\PYTHON_cem3\dataset\brown_bear\0123.jpg,brown_bear\0123.jpg,brown_bear,0,320,480,3
D:\PYTHON_cem3\dataset\brown_bear\0124.jpg,brown_bear\0124.jpg,brown_bear,0,320,320,3
D:\PYTHON_cem3\dataset\brown_bear\0125.jpg,brown_bear\0125.jpg,brown_bear,0,320,228,3
D:\PYTHON_cem3\dataset\brown_bear\0126.jpg,brown_bear\0126.jpg,brown_bear,0,320,480,3
D:\PYTHON_cem3\dataset\brown_bear\0127.jpg,brown_bear\0127.jpg,brown_bear,0,320,480,3
D:\PYTHON_cem3\dataset\brown_bear\0128.jpg,brown_bear\0128.jpg,brown_bear,0,320,427,3
D:\PYTHON_cem3\dataset\brown_bear\0129.jpg,brown_bear\0129.jpg,brown_bear,0,305,480,3
D:\PYTHON_cem3\dataset\brown_bear\0130.jpg,brown_bear\0130.jpg,brown_bear,0,320,480,3
D:\PYTHON_cem3\dataset\brown_bear\0131.jpg,brown_bear\0131.jpg,brown_bear,0,306,480,3
D:\PYTHON_cem3\dataset\brown_bear\0132.jpg,brown_bear\0132.jpg,brown_bear,0,320,436,3
D:\PYTHON_cem3\dataset\brown_bear\0133.jpg,brown_bear\0133.jpg,brown_bear,0,320,480,3
D:\PYTHON_cem3\dataset\brown_bear\0134.jpg,brown_bear\0134.jpg,brown_bear,0,320,456,3
D:\PYTHON_cem3\dataset\brown_bear\0135.jpg,brown_bear\0135.jpg,brown_bear,0,320,480,3
D:\PYTHON_cem3\dataset\brown_bear\0136.jpg,brown_bear\0136.jpg,brown_bear,0,320,320,3
D:\PYTHON_cem3\dataset\brown_bear\0137.jpg,brown_bear\0137.jpg,brown_bear,0,320,320,3
D:\PYTHON_cem3\dataset\brown_bear\0138.jpg,brown_bear\0138.jpg,brown_bear,0,320,480,3
D:\PYTHON_cem3\dataset\brown_bear\0139.jpg,brown_bear\0139.jpg,brown_bear,0,320,480,3
D:\PYTHON_cem3\dataset\brown_bear\0140.jpg,brown_bear\0140.jpg,brown_bear,0,300,480,3
D:\PYTHON_cem3\dataset\brown_bear\0141.jpg,brown_bear\0141.jpg,brown_bear,0,320,180,3
D:\PYTHON_cem3\dataset\brown_bear\0142.jpg,brown_bear\0142.jpg,brown_bear,0,320,480,3
D:\PYTHON_cem3\dataset\brown_bear\0143.jpg,brown_bear\0143.jpg,brown_bear,0,320,480,3
D:\PYTHON_cem3\dataset\brown_bear\0144.jpg,brown_bear\0144.jpg,brown_bear,0,320,480,3
D:\PYTHON_cem3\dataset\brown_bear\0145.jpg,brown_bear\0145.jpg,brown_bear,0,320,320,3
D:\PYTHON_cem3\dataset\brown_bear\0146.jpg,brown_bear\0146.jpg,brown_bear,0,300,480,3
D:\PYTHON_cem3\dataset\brown_bear\0147.jpg,brown_bear\0147.jpg,brown_bear,0,270,480,3
D:\PYTHON_cem3\dataset\brown_bear\0148.jpg,brown_bear\0148.jpg,brown_bear,0,320,480,3
D:\PYTHON_cem3\dataset\brown_bear\0149.jpg,brown_bear\0149.jpg,brown_bear,0,320,480,3
D:\PYTHON_cem3\dataset\brown_bear\0150.jpg,brown_bear\0150.jpg,brown_bear,0,320,480,3
D:\PYTHON_cem3\dataset\brown_bear\0151.jpg,brown_bear\0151.jpg,brown_bear,0,270,480,3
D:\PYTHON_cem3\dataset\brown_bear\0152.jpg,brown_bear\0152.jpg,brown_bear,0,320,480,3
D:\PYTHON_cem3\dataset\brown_bear\0153.jpg,brown_bear\0153.jpg,brown_bear,0,320,480,3
D:\PYTHON_cem3\dataset\brown_bear\0154.jpg,brown_bear\0154.jpg,brown_bear,0,320,480,3
D:\PYTHON_cem3\dataset\brown_bear\0155.jpg,brown_bear\0155.jpg,brown_bear,0,319,480,3
D:\PYTHON_cem3\dataset\brown_bear\0156.jpg,brown_bear\0156.jpg,brown_bear,0,320,480,3
D:\PYTHON_cem3\dataset\brown_bear\0157.jpg,brown_bear\0157.jpg,brown_bear,0,320,462,3
D:\PYTHON_cem3\dataset\brown_bear\0158.jpg,brown_bear\0158.jpg,brown_bear,0,270,480,3
D:\PYTHON_cem3\dataset\brown_bear\0159.jpg,brown_bear\0159.jpg,brown_bear,0,320,480,3
D:\PYTHON_cem3\dataset\brown_bear\0160.jpg,brown_bear\0160.jpg,brown_bear,0,300,480,3
D:\PYTHON_cem3\dataset\brown_bear\0161.jpg,brown_bear\0161.jpg,brown_bear,0,320,480,3
D:\PYTHON_cem3\dataset\brown_bear\0162.jpg,brown_bear\0162.jpg,brown_bear,0,270,480,3
D:\PYTHON_cem3\dataset\brown_bear\0163.jpg,brown_bear\0163.jpg,brown_bear,0,320,480,3
D:\PYTHON_cem3\dataset\brown_bear\0164.jpg,brown_bear\0164.jpg,brown_bear,0,320,480,3
D:\PYTHON_cem3\dataset\brown_bear\0165.jpg,brown_bear\0165.jpg,brown_bear,0,320,480,3
D:\PYTHON_cem3\dataset\brown_bear\0166.jpg,brown_bear\0166.jpg,brown_bear,0,320,480,3
D:\PYTHON_cem3\dataset\brown_bear\0167.jpg,brown_bear\0167.jpg,brown_bear,0,300,480,3
D:\PYTHON_cem3\dataset\brown_bear\0168.jpg,brown_bear\0168.jpg,brown_bear,0,308,480,3
D:\PYTHON_cem3\dataset\brown_bear\0169.jpg,brown_bear\0169.jpg,brown_bear,0,320,480,3
D:\PYTHON_cem3\dataset\brown_bear\0170.jpg,brown_bear\0170.jpg,brown_bear,0,320,480,3
D:\PYTHON_cem3\dataset\brown_bear\0171.jpg,brown_bear\0171.jpg,brown_bear,0,320,480,3
D:\PYTHON_cem3\dataset\brown_bear\0172.jpg,brown_bear\0172.jpg,brown_bear,0,300,480,3
D:\PYTHON_cem3\dataset\brown_bear\0173.jpg,brown_bear\0173.jpg,brown_bear,0,320,471,3
D:\PYTHON_cem3\dataset\brown_bear\0174.jpg,brown_bear\0174.jpg,brown_bear,0,320,480,3
D:\PYTHON_cem3\dataset\brown_bear\0175.jpg,brown_bear\0175.jpg,brown_bear,0,320,479,3
D:\PYTHON_cem3\dataset\brown_bear\0176.jpg,brown_bear\0176.jpg,brown_bear,0,281,480,3
D:\PYTHON_cem3\dataset\brown_bear\0177.jpg,brown_bear\0177.jpg,brown_bear,0,320,399,3
D:\PYTHON_cem3\dataset\brown_bear\0178.jpg,brown_bear\0178.jpg,brown_bear,0,318,480,3
D:\PYTHON_cem3\dataset\brown_bear\0179.jpg,brown_bear\0179.jpg,brown_bear,0,320,480,3
D:\PYTHON_cem3\dataset\brown_bear\0180.jpg,brown_bear\0180.jpg,brown_bear,0,320,320,3
D:\PYTHON_cem3\dataset\brown_bear\0181.jpg,brown_bear\0181.jpg,brown_bear,0,270,480,3
D:\PYTHON_cem3\dataset\brown_bear\0182.jpg,brown_bear\0182.jpg,brown_bear,0,300,480,3
D:\PYTHON_cem3\dataset\brown_bear\0183.jpg,brown_bear\0183.jpg,brown_bear,0,300,480,3
